INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2010 03 04 05:40

TELESCOPE             INT
DATE                  20100303
OBSERVER/S            Burleigh, Lawrie
PROGRAMME             Magnetic White Dwarfs
PROPOSAL REF          P9    
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Daniel Hurley

TEL STATION / FOCUS   Prime  / 43.82
INSTRUMENT/S          WFC

SUNSET (UT)           19:19
EVENING TWILIGHT (UT) 20:31
MORNING TWILIGHT (UT) 06:16
SUNRISE (UT)          07:27
%ILLUM. LUNAR DISK    85
DARK TIME (HRS)       09:45
TWILIGHT TIME (HRS)   02:23
MOONRISE (UT)         22:28
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   6.1   59    17.0  18.4  291   769.2    6.1    6.      7.   59     60
21:00   6.5   53    10.6  11.7  290   769.8    6.5    6.      7.   53     61
22:00   6.7   62    11.3  11.8  274   769.9    6.7    6.      7.   62     66
23:00   6.9   61    14.9  16.4  259   769.5    6.9    6.      7.   61     66
00:00   6.9   59    16.2  18.2  240   770.1    6.9    7.      7.   59     63
01:00   6.8   59    11.4  14.4  226   769.4    6.8    7.      7.   59     62
02:00   6.3   61    11.0  16.7  206   769.5    6.3    6.      7.   61     64
03:00   6.6   56    18.6  22.3  200   769.1    6.6    6.      7.   56     60
04:00   5.3   56    15.0  16.9  178   768.0    5.3    5.      7.   56     59
05:00   6.3   36    20.8  29.6  193   767.3    6.3    6.      7.   36     43

TIME LOST weather           02:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Photometric first 2/3rds, then cirrus. Seeing <1" at start, 1.2" middle, >2" at end. Closed at 05.10UT (cloud).

COMMENTS (causes of time lost, setup information eg CCD windows):
Time lost weather.



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 722486 Bias frame       22:00:00.00 +20:00:00.0  2000.00 13:46 1.064  WFC    0.0  180  Hbeta narro                      
 722487 Bias              0:00:00.00 +00:00:00.0  2000.00 16:34 4.611  WFC    0.0  180  B                                
 722488 Bias              0:00:00.00 +00:00:00.0  2000.00 16:35 4.611  WFC    0.0  180  B                                
 722489 Bias              0:00:00.00 +00:00:00.0  2000.00 16:35 4.611  WFC    0.0  180  B                                
 722490 Bias              0:00:00.00 +00:00:00.0  2000.00 16:36 4.611  WFC    0.0  180  B                                
 722491 Bias              0:00:00.00 +00:00:00.0  2000.00 16:37 4.611  WFC    0.0  180  B                                
 722492 Bias              0:00:00.00 +00:00:00.0  2000.00 16:38 4.611  WFC    0.0  180  B                                
 722493 Bias              0:00:00.00 +00:00:00.0  2000.00 16:39 4.611  WFC    0.0  180  B                                
 722494 Bias              0:00:00.00 +00:00:00.0  2000.00 16:39 4.611  WFC    0.0  180  B                                
 722495 Bias              0:00:00.00 +00:00:00.0  2000.00 16:40 4.611  WFC    0.0  180  B                                
 722496 Bias              0:00:00.00 +00:00:00.0  2000.00 16:41 4.611  WFC    0.0  180  B                                
 722497 Bias              0:00:00.00 +00:00:00.0  2000.00 16:42 4.611  WFC    0.0  180  B                                
 722498 Bias              0:00:00.00 +00:00:00.0  2000.00 16:42 4.611  WFC    0.0  180  B                                
 722499 Bias              0:00:00.00 +00:00:00.0  2000.00 16:43 4.611  WFC    0.0  180  B                                
 722500 Bias              0:00:00.00 +00:00:00.0  2000.00 16:44 4.611  WFC    0.0  180  B                                
 722501 Bias              0:00:00.00 +00:00:00.0  2000.00 16:45 4.611  WFC    0.0  180  B                                
 722502 Bias              0:00:00.00 +00:00:00.0  2000.00 16:46 4.611  WFC    0.0  180  B                                
 722503 Bias              0:00:00.00 +00:00:00.0  2000.00 16:46 4.611  WFC    0.0  180  B                                
 722504 Bias              0:00:00.00 +00:00:00.0  2000.00 16:47 4.611  WFC    0.0  180  B                                
 722505 Bias              0:00:00.00 +00:00:00.0  2000.00 16:48 4.611  WFC    0.0  180  B                                
 722506 Bias              0:00:00.00 +00:00:00.0  2000.00 16:49 4.611  WFC    0.0  180  B                                
 722507 Bias              0:00:00.00 +00:00:00.0  2000.00 16:49 4.611  WFC    0.0  180  B                                
 722508 Bias              0:00:00.00 +00:00:00.0  2000.00 16:50 4.611  WFC    0.0  180  B                                
 722509 Bias              0:00:00.00 +00:00:00.0  2000.00 16:51 4.611  WFC    0.0  180  B                                
 722510 Bias              0:00:00.00 +00:00:00.0  2000.00 16:52 4.611  WFC    0.0  180  B                                
 722511 Bias              0:00:00.00 +00:00:00.0  2000.00 16:53 4.611  WFC    0.0  180  B                                
 722512 Bias              0:00:00.00 +00:00:00.0  2000.00 16:53 4.611  WFC    0.0  180  B                                
 722513 Bias              0:00:00.00 +00:00:00.0  2000.00 16:54 4.611  WFC    0.0  180  B                                
 722514 Bias              0:00:00.00 +00:00:00.0  2000.00 16:55 4.611  WFC    0.0  180  B                                
 722515 Bias              0:00:00.00 +00:00:00.0  2000.00 16:56 4.611  WFC    0.0  180  B                                
 722516 Bias              0:00:00.00 +00:00:00.0  2000.00 16:56 4.611  WFC    0.0  180  B                                
 722517 Bias              0:00:00.00 +00:00:00.0  2000.00 16:57 4.611  WFC    0.0  180  B                                
 722518 Bias              0:00:00.00 +00:00:00.0  2000.00 16:58 4.611  WFC    0.0  180  B                                
 722519 Bias              0:00:00.00 +00:00:00.0  2000.00 16:59 4.611  WFC    0.0  180  B                                
 722520 Bias              0:00:00.00 +00:00:00.0  2000.00 16:59 4.611  WFC    0.0  180  B                                
 722521 Bias              0:00:00.00 +00:00:00.0  2000.00 17:00 4.611  WFC    0.0  180  B                                
 722522 Bias              0:00:00.00 +00:00:00.0  2000.00 17:01 4.611  WFC    0.0  180  B                                
 722523 Bias              0:00:00.00 +00:00:00.0  2000.00 17:02 4.611  WFC    0.0  180  B                                
 722524 Bias              0:00:00.00 +00:00:00.0  2000.00 17:03 4.611  WFC    0.0  180  B                                
 722525 Bias              0:00:00.00 +00:00:00.0  2000.00 17:03 4.611  WFC    0.0  180  B                                
 722526 Bias              0:00:00.00 +00:00:00.0  2000.00 17:04 4.611  WFC    0.0  180  B                                
 722527 Bias              0:00:00.00 +00:00:00.0  2000.00 17:05 4.611  WFC    0.0  180  B                                
 722528 Bias              0:00:00.00 +00:00:00.0  2000.00 17:06 4.611  WFC    0.0  180  B                                
 722529 Bias              0:00:00.00 +00:00:00.0  2000.00 17:06 4.611  WFC    0.0  180  B                                
 722530 Bias              0:00:00.00 +00:00:00.0  2000.00 17:07 4.611  WFC    0.0  180  B                                
 722531 Bias              0:00:00.00 +00:00:00.0  2000.00 17:08 4.611  WFC    0.0  180  B                                
 722532 Bias              0:00:00.00 +00:00:00.0  2000.00 17:09 4.611  WFC    0.0  180  B                                
 722533 Bias              0:00:00.00 +00:00:00.0  2000.00 17:10 4.611  WFC    0.0  180  B                                
 722534 Bias              0:00:00.00 +00:00:00.0  2000.00 17:10 4.611  WFC    0.0  180  B                                
 722535 Bias              0:00:00.00 +00:00:00.0  2000.00 17:11 4.611  WFC    0.0  180  B                                
 722536 Bias              0:00:00.00 +00:00:00.0  2000.00 17:12 4.611  WFC    0.0  180  B                                
 722537 Skyflat V         4:29:45.00 +54:15:35.9  2000.00 19:39 1.119  WFC    6.1  180  V                                
 722538 Skyflat V         4:29:45.57 +54:15:41.0  2000.00 19:40 1.120  WFC   11.1  180  V                                
 722539 Skyflat V         4:29:44.43 +54:15:40.9  2000.00 19:42 1.121  WFC   18.1  180  V                                
 722540 Skyflat V         4:29:44.42 +54:15:30.9  2000.00 19:43 1.122  WFC   27.1  180  V                                
 722541 Skyflat i         4:29:45.00 +54:15:36.0  2000.00 19:46 1.124  WFC   20.2  180  i                                
 722542 Focus run         5:27:59.92 +09:38:30.7  2000.00 20:04 1.059  WFC   10.1  180  V                                
