INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2010 03 27 06:46

TELESCOPE             INT
DATE                  20100326
OBSERVER/S            McMahon, Banerji, Allen
PROGRAMME             z>6 quasars in ukidss
PROPOSAL REF          P14
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 
INSTRUMENT/S          WFC

SUNSET (UT)           19:33
EVENING TWILIGHT (UT) 20:45
MORNING TWILIGHT (UT) 05:49
SUNRISE (UT)          07:01
%ILLUM. LUNAR DISK    87
DARK TIME (HRS)       09:04
TWILIGHT TIME (HRS)   02:24
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          05:12

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   9.0    1    12.9  15.5  201   771.7    9.0                  1      #
21:00   9.2    0    16.0  19.1  160   772.4    9.2                  0      #
22:00   9.7    1    17.8  19.0  219   773.1    9.7                  1      #
23:00   9.0    2    12.5  13.7  238   772.9    9.0                  2      #
00:00   9.1    1    18.0  19.7  268   772.3    9.1                  1      #
01:00   9.8    1    15.8  20.0  240   772.0    9.8                  1      #
02:00   8.6    1     8.7  10.8  201   772.4    8.6                  1      #
03:00  10.6    0    21.9  26.6  242   771.2   10.6                  0      #
04:00   9.8    0    14.8  19.0  231   771.1    9.8                  0      #
05:00  10.3    0    17.8  21.4  216   771.3   10.3                  0      #
06:00   9.8    0    18.7  20.9  200   771.0    9.8                  0      #

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
cirrus all night; seeing 0.9-1.2 arc secs

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 724665 Bias              0:00:00.00 +00:00:00.0  2010.23 11:56 1.138  WFC    0.0  180  r                                
 724666 Bias             21:59:59.99 +49:59:59.9  2010.23 12:06 1.104  WFC    0.0  180  r                                
 724667 Flat field       22:00:00.00 +50:00:00.0  2010.23 12:11 1.108  WFC    6.1  180  Halpha                           
 724668 Dark frame        0:00:00.00 +00:00:00.0  2010.23 16:33 4.539  WFC  600.0  180  Halpha                           
 724669 Dark frame        0:00:00.00 +00:00:00.0  2010.23 16:43 4.539  WFC  600.0  180  Halpha                           
 724670 Dark frame        0:00:00.00 +00:00:00.0  2010.23 16:54 4.539  WFC  600.0  180  Halpha                           
 724671 Dark frame        0:00:00.00 +00:00:00.0  2010.23 17:04 4.539  WFC  600.0  180  Halpha                           
 724672 Dark frame        0:00:00.00 +00:00:00.0  2010.23 17:15 4.539  WFC  600.0  180  Halpha                           
 724673 Bias              0:00:00.00 +00:00:00.0  2010.23 19:33 1.256  WFC    0.0  180  Halpha                           timing test; 33secs "time bias" fast readout
 724674 Bias              0:00:00.00 +00:00:00.0  2010.23 19:34 1.256  WFC    0.0  180  Halpha                           timing test multbias 2; 61secs
 724675 Bias              0:00:00.00 +00:00:00.0  2010.23 19:34 1.256  WFC    0.0  180  Halpha                           
 724676 Bias              0:00:00.00 +00:00:00.0  2010.23 19:36 1.256  WFC    0.0  180  Halpha                           multbias 2; slow readout; 97secs
 724677 Bias              0:00:00.00 +00:00:00.0  2010.23 19:37 1.256  WFC    0.0  180  Halpha                           
 724678 Bias              0:00:00.00 +00:00:00.0  2010.23 19:40 1.256  WFC    0.0  180  Halpha                           multbias 2; fast read out; 2x2 binning; 43 seconds+
 724679 Bias              0:00:00.00 +00:00:00.0  2010.23 19:41 1.256  WFC    0.0  180  Halpha                           
 724680 Flat field        8:01:00.00 +50:00:00.0  2000.00 19:50 1.100  WFC   12.1  180  z                                sky 10000
 724682 Flat field        8:00:57.92 +50:00:20.0  2000.00 19:51 1.099  WFC   19.6  180  z                                sky 10000
 724683 Flat field        8:00:55.84 +50:00:39.8  2000.00 19:53 1.097  WFC   39.5  180  z                                sky 12000
 724684 Flat field        8:00:55.85 +50:00:39.9  2000.00 19:54 1.096  WFC   10.1  180  i                                sky 10000
 724685 Flat field        8:00:57.92 +50:00:20.1  2000.00 19:56 1.095  WFC   20.1  180  i                                sky 13500
 724686 Flat field        8:01:02.07 +49:59:39.9  2000.00 19:57 1.094  WFC   40.1  180  i                                sky 17500
 724687 Focus run         8:04:08.02 +00:01:26.6  2000.00 20:16 1.162  WFC   10.1  180  i                                
 724688 Focus run         7:36:20.59 +23:48:38.1  2000.00 20:34 1.004  WFC   10.1  180  i                                variable seeing, using focus from previous night
 724689 ULASJ0736+2347    7:36:20.58 +23:48:37.9  2000.00 20:49 1.008  WFC  599.8  180  i                                sky 27000, FWHM=2.5 pix
 724690 ULASJ0736+2347    7:36:21.31 +23:48:48.1  2000.00 21:11 1.019  WFC  599.7  180  i                                offset 10 10; sky 11200, FWHM=2.8 pix
 724691 Focus run         7:36:20.58 +23:48:38.5  2000.00 21:27 1.027  WFC   20.1  180  i                                43.75mm, FWHM=0.73"
 724692 ULASJ0824+0139    8:24:01.82 +01:38:46.8  2000.00 21:35 1.128  WFC  599.7  180  i                                sky 26000, FWHM=3.0 pix
 724693 ULASJ0832+0320    8:32:02.07 +03:19:10.5  2000.00 21:48 1.115  WFC  599.7  180  i                                sky 37000, FWHM=3.5 pix
 724694 ULASJ0832+0320    8:32:02.08 +03:19:10.3  2000.00 22:03 1.123  WFC  299.9  180  i                                sky 20000, FWHM=2.9 pix
