INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2011 01 21 14:46

TELESCOPE             INT
DATE                  20101217
OBSERVER/S            Magill, Tyndall
PROGRAMME             D
PROPOSAL REF          D
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Amy Tyndall

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           18:25
EVENING TWILIGHT (UT) 19:41
MORNING TWILIGHT (UT) 06:34
SUNRISE (UT)          07:51
%ILLUM. LUNAR DISK    88
DARK TIME (HRS)       10:53
TWILIGHT TIME (HRS)   02:33
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          05:17

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   1.7   99    43.4  67.8  182   755.4   n.a.  n.a.    n.a.  n.a.   n.a.
20:00   3.0   99    27.6  52.4  192   755.4   n.a.  n.a.    n.a.  n.a.   n.a.
21:00   2.0   99    32.5  44.2  186   756.0   n.a.  n.a.    n.a.  n.a.   n.a.
22:00   3.1   99    34.8  46.0  188   755.8   n.a.  n.a.    n.a.  n.a.   n.a.
23:00   3.1   99    35.0  55.0  156   755.9   n.a.  n.a.    n.a.  n.a.   n.a.
00:00   3.2   99    35.6  53.8  197   755.7   n.a.  n.a.    n.a.  n.a.   n.a.
01:00   3.2   99    32.0  48.1  166   755.8   n.a.  n.a.    n.a.  n.a.   n.a.
02:00   2.9   99    41.6  57.6  175   755.9   n.a.  n.a.    n.a.  n.a.   n.a.
03:00   2.0   99    43.4  56.0  150   755.7   n.a.  n.a.    n.a.  n.a.   n.a.
04:00   1.7   99    40.0  47.2  201   756.1   n.a.  n.a.    n.a.  n.a.   n.a.
05:00   1.9   99    35.5  50.1  223   756.0   n.a.  n.a.    n.a.  n.a.   n.a.
06:00   2.3   99    32.8  55.2  229   756.2   n.a.  n.a.    n.a.  n.a.   n.a.
07:00   1.5   99    47.1  66.0  214   756.8   n.a.  n.a.    n.a.  n.a.   n.a.

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
dome open only for a very short period around twilight. High humidity for the rest of the night

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 771424 Bias             17:30:00.00 +20:00:00.0  2000.00 14:05 1.049  WFC    0.0  180  r                                
 771425 Flat field       17:29:59.99 +20:00:00.0  2000.00 14:09 1.054  WFC    6.1  180  Halpha                           
 771426 Bias              0:00:00.00 +00:00:00.0  2000.00 15:33 4.752  WFC    0.0  180  I                                
 771427 Bias              0:00:00.00 +00:00:00.0  2000.00 15:33 4.752  WFC    0.0  180  I                                
 771428 Bias              0:00:00.00 +00:00:00.0  2000.00 15:34 4.752  WFC    0.0  180  I                                
 771429 Bias              0:00:00.00 +00:00:00.0  2000.00 15:34 4.752  WFC    0.0  180  I                                
 771430 Bias              0:00:00.00 +00:00:00.0  2000.00 15:35 4.752  WFC    0.0  180  I                                
 771431 Bias              0:00:00.00 +00:00:00.0  2000.00 15:38 4.752  WFC    0.0  180  I                                
 771432 Bias              0:00:00.00 +00:00:00.0  2000.00 15:39 4.752  WFC    0.0  180  I                                
 771433 Bias              0:00:00.00 +00:00:00.0  2000.00 15:39 4.752  WFC    0.0  180  I                                
 771434 Bias              0:00:00.00 +00:00:00.0  2000.00 15:39 4.752  WFC    0.0  180  I                                
 771435 Bias              0:00:00.00 +00:00:00.0  2000.00 15:39 4.752  WFC    0.0  180  I                                
 771436 Bias              0:00:00.00 +00:00:00.0  2000.00 15:44 4.752  WFC    0.0  180  I                                
 771437 Bias              0:00:00.00 +00:00:00.0  2000.00 15:44 4.752  WFC    0.0  180  I                                
 771438 Bias              0:00:00.00 +00:00:00.0  2000.00 15:44 4.752  WFC    0.0  180  I                                
 771439 Bias              0:00:00.00 +00:00:00.0  2000.00 15:44 4.752  WFC    0.0  180  I                                
 771440 Bias              0:00:00.00 +00:00:00.0  2000.00 15:44 4.752  WFC    0.0  180  I                                
 771441 Bias              0:00:00.00 +00:00:00.0  2000.00 15:54 4.752  WFC    0.0  180  I                                
 771442 Bias              0:00:00.00 +00:00:00.0  2000.00 15:54 4.752  WFC    0.0  180  I                                
 771443 Bias              0:00:00.00 +00:00:00.0  2000.00 15:54 4.752  WFC    0.0  180  I                                
 771444 Bias              0:00:00.00 +00:00:00.0  2000.00 15:54 4.752  WFC    0.0  180  I                                
 771445 Bias              0:00:00.00 +00:00:00.0  2000.00 15:54 4.752  WFC    0.0  180  I                                
 771446 Bias              0:00:00.00 +00:00:00.0  2000.00 15:58 4.752  WFC    0.0  180  I                                
 771447 Bias              0:00:00.00 +00:00:00.0  2000.00 15:58 4.752  WFC    0.0  180  I                                
 771448 Bias              0:00:00.00 +00:00:00.0  2000.00 15:58 4.752  WFC    0.0  180  I                                
 771449 Bias              0:00:00.00 +00:00:00.0  2000.00 15:58 4.752  WFC    0.0  180  I                                
