INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2010 12 19 17:56

TELESCOPE             INT
DATE                  20101218
OBSERVER/S            Nefs
PROGRAMME             N2
PROPOSAL REF          N2                 
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Janssen

TEL STATION / FOCUS   Prime  / 43.65
INSTRUMENT/S          WFC

SUNSET (UT)           18:25
EVENING TWILIGHT (UT) 19:42
MORNING TWILIGHT (UT) 06:35
SUNRISE (UT)          07:51
%ILLUM. LUNAR DISK    94
DARK TIME (HRS)       10:53
TWILIGHT TIME (HRS)   02:33
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          06:16

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   0.0   99    34.6  42.0  242   760.0   n.a.  n.a.    n.a.  n.a.   n.a.
20:00   0.5   90    38.4  42.2  256   760.4   n.a.  n.a.    n.a.  n.a.   n.a.
21:00   0.1   90    38.4  47.6  250   760.9   n.a.  n.a.    n.a.  n.a.   n.a.
22:00  -0.0   89    39.4  47.2  251   761.3   n.a.  n.a.    n.a.  n.a.   n.a.
23:00   1.2   53    42.7  48.9  244   761.7   n.a.  n.a.    n.a.  n.a.   n.a.
00:00   1.6   51    41.1  46.3  240   761.8   n.a.  n.a.    n.a.  n.a.   n.a.
01:00   1.5   57    35.8  43.6  260   761.8   n.a.  n.a.    n.a.  n.a.   n.a.
02:00   2.2   71    40.4  49.7  223   761.7   n.a.  n.a.    n.a.  n.a.   n.a.
03:00   2.0   70    35.2  42.0  260   761.8   n.a.  n.a.    n.a.  n.a.   n.a.
04:00   1.6   82    29.0  33.5  261   761.9   n.a.  n.a.    n.a.  n.a.   n.a.
05:00   1.6   93    33.9  41.5  262   761.7   n.a.  n.a.    n.a.  n.a.   n.a.
06:00   2.1   92    38.9  46.3  230   761.9   n.a.  n.a.    n.a.  n.a.   n.a.
07:00   1.9   98    24.0  34.2  254   762.2   n.a.  n.a.    n.a.  n.a.   n.a.

TIME LOST weather           05:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Beginning and end moist; dome closed. In between decent conditions and reasonable seeing.

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 771519 Bias              0:00:00.00 +00:00:00.0  2000.00 20:53 4.310  WFC    0.0  180  I                                
 771520 WASP12b science   6:30:39.00 +29:39:57.8  2000.00 00:22 1.062  WFC   30.1  180  i                                
 771521 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:22 1.061  WFC   29.6  180  i                                
 771523 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:23 1.060  WFC   10.1  180  i                                
 771524 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:24 1.060  WFC   10.1  180  i                                
 771525 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:24 1.059  WFC    9.6  180  i                                
 771526 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:24 1.059  WFC   10.1  180  i                                
 771527 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:25 1.058  WFC   10.1  180  i                                
 771528 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:25 1.058  WFC   10.1  180  i                                
 771529 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:25 1.057  WFC    9.7  180  i                                
 771530 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:26 1.057  WFC   10.1  180  i                                
 771531 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:26 1.057  WFC   10.1  180  i                                
 771532 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:26 1.056  WFC   10.1  180  i                                
 771533 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 00:27 1.055  WFC   10.1  180  i                                
 771534 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 00:27 1.055  WFC   10.1  180  i                                
 771535 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:27 1.055  WFC   10.1  180  i                                
 771536 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:28 1.054  WFC   10.1  180  i                                
 771537 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:28 1.054  WFC   10.1  180  i                                
 771538 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:28 1.053  WFC   10.1  180  i                                
 771539 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:28 1.053  WFC   10.1  180  i                                
 771540 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:29 1.053  WFC   10.1  180  i                                
 771541 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 00:29 1.052  WFC   10.1  180  i                                
 771542 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:29 1.052  WFC   10.1  180  i                                
 771543 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 00:30 1.052  WFC   10.1  180  i                                
 771544 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:30 1.051  WFC   10.1  180  i                                
