INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2011 01 15 07:11

TELESCOPE             INT
DATE                  20110114
OBSERVER/S            Sebastiaan Nefs
PROGRAMME             Planets and red binaries
PROPOSAL REF          N3
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Amy Tyndall

TEL STATION / FOCUS   Prime  / 43.80
INSTRUMENT/S          WFC

SUNSET (UT)           18:43
EVENING TWILIGHT (UT) 19:58
MORNING TWILIGHT (UT) 06:43
SUNRISE (UT)          07:58
%ILLUM. LUNAR DISK    74
DARK TIME (HRS)       10:45
TWILIGHT TIME (HRS)   02:30
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          04:00

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   0.7   50     4.3  10.0  172   769.4   n.a.  n.a.    n.a.  n.a.   n.a.
20:00   1.1   33     4.9   5.8  177   769.8   n.a.  n.a.    n.a.  n.a.   n.a.
21:00  -0.0   73     1.8   2.8  174   770.1   n.a.  n.a.    n.a.  n.a.   n.a.
22:00  -0.0   48     5.0  11.8  169   769.9   n.a.  n.a.    n.a.  n.a.   n.a.
23:00  -0.4   71    11.3  17.5  179   769.7   n.a.  n.a.    n.a.  n.a.   n.a.
00:00  -0.3   53    12.9  17.6  171   769.4   n.a.  n.a.    n.a.  n.a.   n.a.
01:00  -0.4   50    15.3  23.7  173   768.9   n.a.  n.a.    n.a.  n.a.   n.a.
02:00  -0.3   45    15.7  30.4  170   768.4   n.a.  n.a.    n.a.  n.a.   n.a.
03:00  -0.2   43    17.1  18.3  170   768.4   n.a.  n.a.    n.a.  n.a.   n.a.
04:00  -0.1   43    12.6  24.0  191   768.4   n.a.  n.a.    n.a.  n.a.   n.a.
05:00  -0.1   44    26.3  28.1  171   767.6   n.a.  n.a.    n.a.  n.a.   n.a.
06:00  -0.1   44    18.8  26.5  171   767.8   n.a.  n.a.    n.a.  n.a.   n.a.
07:00   0.0   44    17.8  25.4  166   768.3   n.a.  n.a.    n.a.  n.a.   n.a.

TIME LOST weather           00:00
TIME LOST Technical         04:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
seeing varied between 1-1.5", dry conditions

COMMENTS (causes of time lost, setup information eg CCD windows):
Problems with auto-guider. Troubles finding guide stars and striped and curved noise pattern appeared at around 03.15UT. Doing system startup gave a problem with 
the connection  to the machine lpss7 and the DAS, which I power-cycled, but WFC remains unresponsive. 


 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 776042 Bias             19:30:00.00 +20:00:00.0  2000.00 14:07 1.041  WFC    0.0  180  r                                
 776043 Flat field       19:30:00.00 +19:59:59.9  2000.00 14:10 1.044  WFC    5.6  180  Halpha                           
 776044 bias unwindowed   0:00:00.00 +00:00:00.0  2000.00 18:24 1.000  WFC    0.0  180  V                                
 776045 bias unwindowed   0:00:00.00 +00:00:00.0  2000.00 18:25 1.000  WFC    0.0  180  V                                
 776046 bias unwindowed   0:00:00.00 +00:00:00.0  2000.00 18:25 1.000  WFC    0.0  180  V                                
 776047 bias unwindowed   0:00:00.00 +00:00:00.0  2000.00 18:26 1.000  WFC    0.0  180  V                                
 776048 bias unwindowed   0:00:00.00 +00:00:00.0  2000.00 18:26 1.000  WFC    0.0  180  V                                
 776049 bias unwindowed   0:00:00.00 +00:00:00.0  2000.00 18:27 1.000  WFC    0.0  180  V                                
 776050 bias unwindowed   0:00:00.00 +00:00:00.0  2000.00 18:27 1.000  WFC    0.0  180  V                                
 776051 bias unwindowed   0:00:00.00 +00:00:00.0  2000.00 18:27 1.000  WFC    0.0  180  V                                
 776052 bias unwindowed   0:00:00.00 +00:00:00.0  2000.00 18:28 1.000  WFC    0.0  180  V                                
 776053 bias unwindowed   0:00:00.00 +00:00:00.0  2000.00 18:28 1.000  WFC    0.0  180  V                                
 776054 bias unwindowed   0:00:00.00 +00:00:00.0  2000.00 18:29 1.000  WFC    0.0  180  V                                
 776055 experiment        0:00:00.00 +00:00:00.0  2000.00 18:33 1.000  WFC    0.0  180  V                                
 776056 bias windowedWAS  0:00:00.00 +00:00:00.0  2000.00 18:35 1.000  WFC    0.0  180  V                                
 776057 bias windowedWAS  0:00:00.00 +00:00:00.0  2000.00 18:35 1.000  WFC    0.0  180  V                                
 776058 bias windowedWAS  0:00:00.00 +00:00:00.0  2000.00 18:35 1.000  WFC    0.0  180  V                                
 776059 bias windowedWAS  0:00:00.00 +00:00:00.0  2000.00 18:36 1.000  WFC    0.0  180  V                                
 776060 bias windowedWAS  0:00:00.00 +00:00:00.0  2000.00 18:36 1.000  WFC    0.0  180  V                                
 776061 bias windowedWAS  0:00:00.00 +00:00:00.0  2000.00 18:36 1.000  WFC    0.0  180  V                                
 776062 bias windowedWAS  0:00:00.00 +00:00:00.0  2000.00 18:36 1.000  WFC    0.0  180  V                                
 776063 bias windowedWAS  0:00:00.00 +00:00:00.0  2000.00 18:36 1.000  WFC    0.0  180  V                                
 776064 bias windowedWAS  0:00:00.00 +00:00:00.0  2000.00 18:36 1.000  WFC    0.0  180  V                                
 776065 bias windowedWAS  0:00:00.00 +00:00:00.0  2000.00 18:36 1.000  WFC    0.0  180  V                                
 776066 bias windowedWAS  0:00:00.00 +00:00:00.0  2000.00 18:37 1.000  WFC    0.0  180  V                                
 776067 V flat            1:00:00.00 +00:07:00.0  2000.00 18:57 1.143  WFC    2.0  180  V                                
 776068 V flat            1:00:00.00 +00:07:00.0  2000.00 18:58 1.144  WFC    3.1  180  V                                
 776069 V flat            0:59:59.33 +00:07:19.9  2000.00 18:59 1.144  WFC    5.1  180  V                                
 776070 V flat            1:00:00.66 +00:06:50.0  2000.00 19:00 1.145  WFC    5.1  180  V                                
 776071 i flat            1:00:01.33 +00:07:30.0  2000.00 19:01 1.145  WFC    5.1  180  i                                
 776072 i flat            0:59:58.00 +00:06:30.0  2000.00 19:02 1.146  WFC    4.2  180  i                                
 776073 i flat            0:59:58.99 +00:07:14.9  2000.00 19:03 1.146  WFC    5.1  180  i                                
 776074 i flat            1:00:00.00 +00:07:29.9  2000.00 19:04 1.147  WFC    4.1  180  i                                
 776075 i flat            0:59:57.99 +00:07:05.3  2000.00 19:05 1.147  WFC    5.5  180  i                                
 776076 i flat            0:59:59.00 +00:07:20.0  2000.00 19:06 1.148  WFC    8.1  180  i                                
