id,is_best
0001_aug2003,False
0001_jul2007,True
0001_oct2006,False
0001o_aug2003,False
0001o_jul2007,True
0001o_oct2006,False
0002_aug2003,False
0002_jul2007,True
0002_oct2006,False
0002o_aug2003,False
0002o_jul2007,True
0002o_oct2006,False
0003_aug2003,False
0003_jul2007,True
0003_oct2006,False
0003o_aug2003,False
0003o_jul2007,True
0003o_oct2006,False
0003o_oct2009,False
0004_aug2003,False
0004_aug2004b,True
0004o_aug2004b,True
0005_nov2003b,False
0005_oct2012,True
0005o_nov2003b,False
0005o_oct2012,True
0006_nov2003b,True
0006o_nov2003b,True
0007_nov2003b,True
0007o_nov2003b,True
0008_nov2003b,False
0008_sep2010,True
0008o_nov2003b,False
0008o_oct2012,False
0008o_sep2010,True
0009_aug2010,False
0009_nov2003b,False
0009_oct2009,True
0009o_aug2010,False
0009o_nov2003b,False
0009o_oct2009,True
0010_aug2009,False
0010_nov2003b,False
0010_nov2008,True
0010o_aug2009,False
0010o_nov2003b,False
0010o_nov2008,True
0011_nov2003b,False
0011_nov2008,True
0011o_nov2003b,False
0011o_nov2008,True
0012_nov2003b,False
0012_nov2008,True
0012o_nov2003b,False
0012o_nov2008,True
0013_nov2003b,False
0013_nov2008,True
0013o_nov2003b,False
0013o_nov2008,True
0014_aug2010,False
0014_nov2003b,False
0014_oct2012,True
0014o_nov2003b,False
0014o_oct2012,True
0015_aug2009,True
0015_nov2003b,False
0015o_aug2009,False
0015o_nov2003b,False
0015o_nov2008,True
0016_nov2003b,False
0016_oct2012,True
0016o_nov2003b,False
0016o_oct2012,True
0017_jul2012,True
0017_nov2003b,False
0017o_jul2012,True
0017o_nov2003b,False
0018_jul2012,False
0018_nov2003b,False
0018_oct2009,True
0018o_jul2012,False
0018o_nov2003b,False
0018o_oct2009,True
0019_nov2003b,True
0019_nov2012,False
0019o_nov2003b,True
0020_nov2003b,True
0020o_nov2003b,True
0021_nov2003b,True
0021_oct2009,False
0021o_nov2003b,True
0021o_oct2009,False
0022_jul2012,True
0022_nov2003b,False
0022o_jul2012,True
0022o_nov2003b,False
0023_nov2003b,True
0023o_nov2003b,True
0024_nov2003b,False
0024_nov2006c,False
0024_oct2005b,True
0024o_nov2003b,False
0024o_nov2006c,False
0024o_oct2005b,True
0025_aug2009,False
0025_nov2003b,False
0025_nov2008,False
0025_oct2005b,False
0025_oct2006b,True
0025o_aug2009,False
0025o_nov2003b,False
0025o_nov2008,False
0025o_oct2005b,False
0025o_oct2006b,True
0026_nov2003b,False
0026_oct2005b,False
0026_oct2006,True
0026o_nov2003b,False
0026o_oct2005b,False
0026o_oct2006,True
0027_nov2003b,False
0027_oct2005b,True
0027_oct2006b,False
0027o_nov2003b,False
0027o_oct2005b,True
0028_nov2003b,False
0028_oct2005b,True
0028o_nov2003b,False
0028o_oct2005b,True
0029_nov2003b,False
0029_oct2005b,True
0029o_nov2003b,False
0029o_oct2005b,True
0030_nov2003b,False
0030_oct2005b,True
0030o_nov2003b,False
0030o_oct2005b,True
0031_nov2003b,False
0031_oct2005b,True
0031o_nov2003b,False
0031o_oct2005b,True
0032_nov2003b,False
0032_oct2005b,True
0032o_nov2003b,False
0032o_oct2005b,True
0033_nov2003b,False
0033_oct2005b,True
0033o_nov2003b,False
0033o_oct2005b,True
0034_nov2003b,False
0034_oct2006b,True
0034o_nov2003b,False
0034o_oct2006b,True
0035_nov2003b,False
0035_oct2005b,True
0035o_dec2003,False
0035o_oct2005b,True
0036_dec2003,False
0036_oct2009,False
0036_oct2012,True
0036o_dec2003,False
0036o_oct2009,False
0036o_oct2012,True
0037_dec2003,False
0037_oct2006b,True
0037o_dec2003,False
0037o_oct2006b,True
0038_dec2003,True
0038o_dec2003,True
0039_dec2003,True
0039o_dec2003,True
0040_dec2003,False
0040_oct2009,True
0040o_dec2003,False
0040o_oct2009,True
0041_dec2003,False
0041_oct2006b,True
0041o_dec2003,False
0041o_oct2006b,True
0042_dec2003,False
0042_oct2006b,True
0042o_dec2003,False
0042o_oct2006b,True
0043_dec2003,False
0043_oct2006b,True
0043o_dec2003,False
0043o_oct2006b,True
0044_dec2003,False
0044_oct2005b,False
0044_oct2006b,True
0044o_dec2003,False
0044o_oct2005b,False
0044o_oct2006b,True
0045_dec2003,False
0045_jul2012,True
0045o_dec2003,False
0045o_jul2012,True
0046_dec2003,True
0046o_dec2003,True
0047_dec2003,False
0047_jul2012,True
0047_oct2009,False
0047o_dec2003,False
0047o_jul2012,True
0047o_oct2009,False
0048_dec2003,True
0048o_dec2003,True
0049_dec2003,True
0049o_dec2003,True
0050_dec2003,True
0050o_dec2003,True
0051_dec2003,True
0051o_dec2003,True
0052_dec2003,True
0052o_dec2003,True
0053_dec2003,True
0053_oct2009,False
0053o_dec2003,True
0053o_oct2009,False
0054_dec2003,True
0054o_dec2003,True
0055_dec2003,True
0055o_dec2003,True
0056_dec2003,True
0056o_dec2003,True
0057_dec2003,True
0057o_dec2003,True
0058_dec2003,True
0058o_dec2003,True
0059_dec2003,True
0059o_dec2003,True
0060_dec2003,True
0060o_dec2003,True
0061_dec2003,True
0061o_dec2003,True
0062_dec2003,True
0062o_dec2003,True
0063_dec2003,True
0063o_dec2003,True
0064_dec2003,False
0064_jul2012,True
0064o_dec2003,False
0064o_jul2012,True
0065_dec2003,False
0065_jul2012,True
0065o_dec2003,False
0065o_jul2012,True
0066_dec2003,False
0066_jul2012,True
0066o_dec2003,False
0066o_jul2012,True
0067_dec2003,False
0067_jul2012,True
0067o_dec2003,False
0067o_jul2012,True
0068_dec2003,False
0068_jul2012,True
0068o_dec2003,False
0068o_jul2012,True
0069_dec2003,False
0069_jul2012,True
0069o_dec2003,False
0069o_jul2012,True
0070_dec2003,False
0070_jul2012,True
0070o_dec2003,False
0070o_jul2012,True
0071_dec2003,False
0071_sep2010,True
0071o_dec2003,False
0071o_sep2010,True
0072_dec2003,False
0072_jul2012,True
0072o_dec2003,False
0072o_jul2012,True
0073_dec2003,False
0073_jul2012,True
0073o_dec2003,False
0073o_jul2012,True
0074_dec2003,False
0074_jul2012,True
0074o_dec2003,False
0074o_jul2012,True
0075_dec2003,False
0075_jul2012,True
0075o_aug2004a,False
0075o_jul2012,True
0076_aug2004a,True
0076_oct2006b,False
0076o_aug2004a,True
0076o_oct2006b,False
0077_aug2004a,True
0077o_aug2004a,True
0078_aug2004a,True
0078_nov2006c,False
0078o_aug2004a,True
0078o_nov2006c,False
0079_aug2004a,True
0079_oct2006b,False
0079o_aug2004a,True
0079o_oct2006b,False
0080_aug2004a,False
0080_oct2005b,True
0080o_aug2004a,False
0080o_oct2005b,True
0081_aug2004a,True
0081_oct2006b,False
0081o_aug2004a,True
0081o_oct2006b,False
0082_aug2004a,True
0082o_aug2004a,True
0083_aug2004a,True
0083_nov2012,False
0083o_aug2004a,True
0083o_nov2012,False
0084_aug2004a,True
0084o_aug2004a,True
0085_aug2004a,True
0085_oct2012,False
0085o_aug2004a,True
0085o_oct2012,False
0086_aug2004a,True
0086_oct2009,False
0086o_aug2004a,True
0086o_oct2009,False
0087_aug2004a,False
0087_nov2012,True
0087o_aug2004a,False
0087o_nov2012,True
0088_aug2004a,True
0088o_aug2004a,True
0089_aug2004a,True
0089_oct2012,False
0089o_aug2004a,True
0089o_oct2012,False
0090_aug2004a,True
0090o_aug2004a,True
0091_aug2004a,True
0091o_aug2004a,True
0092_aug2004a,True
0092o_aug2004a,True
0093_aug2004a,True
0093o_aug2004a,True
0094_aug2004a,True
0094o_aug2004a,True
0095_aug2004a,True
0095o_aug2004a,True
0096_aug2004a,True
0096o_aug2004a,True
0097_aug2004a,True
0097o_aug2004a,True
0098_aug2004a,True
0098o_aug2004a,True
0099_aug2004a,True
0099_oct2012,False
0099o_aug2004a,True
0099o_oct2012,False
0100_aug2004a,True
0100o_aug2004a,True
0101_aug2004a,True
0101o_aug2004a,True
0102_aug2004a,True
0102_oct2012,False
0102o_aug2004a,True
0102o_oct2012,False
0103_aug2004a,True
0103o_aug2004a,True
0104_aug2004a,True
0104_oct2012,False
0104o_aug2004a,True
0104o_oct2012,False
0105_aug2004a,False
0105_nov2012,True
0105_oct2012,False
0105o_aug2004a,False
0105o_nov2012,True
0105o_oct2012,False
0106_aug2004a,True
0106o_aug2004a,True
0107_aug2004a,True
0107o_aug2004a,True
0108_aug2004a,True
0108o_aug2004a,True
0109_aug2004a,True
0109o_aug2004a,True
0110_aug2004a,True
0110o_aug2004a,True
0111_aug2004a,True
0111o_aug2004a,True
0112_aug2004a,True
0112o_aug2004a,True
