id,qflag,is_ok,problems,problems_simple,r5sig_judged,i5sig_judged,h5sig_judged,rmode_judged,rmedian_judged
0001_aug2003,A++,True,,,20.47,20.05,20.13,20.25,18.87
0001_jul2007,A++,True,,,21.01,19.93,19.99,19.24,19.32
0001_oct2006,B,True,seeing>2,Seeing,20.73,19.58,19.62,20.0,18.58
0001o_aug2003,A++,True,,,20.48,19.98,20.16,19.25,18.83
0001o_jul2007,A++,True,,,21.015,19.955,20.004,20.745,19.355
0001o_oct2006,A,True,,,20.86,19.65,19.69,20.25,18.72
0002_aug2003,A++,True,,,20.4042,19.8994,20.0842,19.2042,18.8242
0002_jul2007,A++,True,,,21.079,19.96,20.04,20.799,19.459
0002_oct2006,B,True,seeing>2,Seeing,20.8911,19.2015,19.8911,19.2511,18.3611
0002o_aug2003,A++,True,,,20.4478,19.8949,20.1178,20.2478,18.9978
0002o_jul2007,A++,True,,,21.096,19.976,20.051,20.806,19.406
0002o_oct2006,A,True,,,20.9233,19.4804,19.7433,19.5033,18.7133
0003_aug2003,A++,True,,,20.2535,19.8065,19.9135,20.2035,19.2235
0003_jul2007,A++,True,,,20.8741,19.8097,19.7841,20.4041,19.9241
0003_oct2006,B,True,seeing>2,Seeing,20.7098,19.1935,19.6598,19.6698,18.9998
0003o_aug2003,A++,True,,,20.2377,19.6119,19.8078,20.4377,19.1978
0003o_jul2007,A++,True,,,20.8945,19.7943,19.7645,21.1645,19.7845
0003o_oct2006,A,True,,,20.7616,19.5741,19.5216,20.1816,19.1616
0003o_oct2009,A++,True,,,20.943,19.807,20.021,20.743,19.633
0004_aug2003,A,True,,,20.15,19.58,19.83,19.25,18.61
0004_aug2004b,A++,True,,,21.091,19.871,20.077,19.271,19.361
0004o_aug2004b,A++,True,,,21.111,19.862,20.067,20.021,19.391
0005_nov2003b,A+,True,,,21.182,20.528,20.882,19.742,19.502
0005_oct2012,A++,True,,,21.4988,20.6664,20.4388,19.7588,19.5788
0005o_nov2003b,A+,True,,,21.418,20.674,21.013,19.508,19.788
0005o_oct2012,A++,True,,,21.5011,20.6664,20.4411,19.5111,19.6311
0006_nov2003b,A++,True,,,21.408,20.73,20.958,20.518,19.758
0006o_nov2003b,A++,True,,,21.299,20.481,20.89,20.139,19.659
0007_nov2003b,A++,True,,,21.2,20.525,20.828,19.48,19.47
0007o_nov2003b,A++,True,,,21.205,20.495,20.802,19.875,19.545
0008_nov2003b,A,True,,,21.719,20.992,21.071,21.699,20.499
0008_sep2010,A++,True,,,20.9454,19.7601,19.9354,19.9954,19.2654
0008o_nov2003b,A,True,,,21.831,21.262,21.4,21.641,20.421
0008o_oct2012,A+,True,,,21.3985,20.5806,20.3585,19.9685,19.5485
0008o_sep2010,A++,True,,,20.9448,19.7562,19.9248,19.7448,19.2448
0009_aug2010,A+,True,,,20.98,19.67,19.93,20.5,19.12
0009_nov2003b,D,False,Noise,Inconsistent photometry,21.958,21.347,21.603,22.238,20.718
0009_oct2009,A++,True,,,20.97,19.82,20.18,19.75,19.17
0009o_aug2010,A+,True,,,20.97,19.67,19.94,20.25,19.11
0009o_nov2003b,D,False,Noise,Inconsistent photometry,22.147,21.871,21.591,21.247,20.557
0009o_oct2009,A++,True,,,20.97,19.85,20.17,19.75,19.15
0010_aug2009,A,True,,,20.6834,19.5443,19.6034,20.2434,18.9034
0010_nov2003b,D,False,r5sig<20 & i5sig<19 & h5sig<19 & rmode<18 & Noise,Clouds / Inconsistent photometry,17.3084,16.6096,16.8884,16.7584,16.3584
0010_nov2008,A,True,,,21.43,19.84,20.41,20.26,19.18
0010o_aug2009,B,True,seeing>2,Seeing,20.4009,19.297,19.4809,19.4709,18.4709
0010o_nov2003b,D,False,r5sig<20 & i5sig<19 & h5sig<19 & rmode<18 & Noise,Clouds / Inconsistent photometry,17.749,16.1489,17.379,16.949,16.319
0010o_nov2008,A,True,,,21.49,20.04,20.28,20.76,19.45
0011_nov2003b,D,False,r5sig<20 & i5sig<19 & h5sig<19 & rmode<18 & Noise,Clouds / Inconsistent photometry,17.7481,17.0215,17.4181,17.2681,16.7081
0011_nov2008,A,True,,,21.63,19.98,20.61,20.01,19.08
0011o_nov2003b,D,False,r5sig<20 & i5sig<19 & h5sig<19 & rmode<18 & Noise,Clouds / Inconsistent photometry,17.5484,16.9734,17.1384,17.5284,16.4084
0011o_nov2008,A,True,,,21.65,20.07,20.41,20.01,19.31
0012_nov2003b,D,False,r5sig<20 & i5sig<19 & h5sig<19 & rmode<18 & n_stars<1000,Clouds,16.4765,16.1628,16.1365,15.8165,15.6665
0012_nov2008,A,True,,,21.61,19.98,20.41,21.01,20.07
0012o_nov2003b,D,False,r5sig<20 & i5sig<19 & h5sig<19 & rmode<18 & n_stars<1000,Clouds,16.554,15.8333,16.174,16.884,15.784
0012o_nov2008,A+,True,,,21.59,20.12,20.53,21.01,20.23
0013_nov2003b,D,False,Noise,Inconsistent photometry,20.13,19.45,19.76,20.0,18.97
0013_nov2008,A+,True,,,21.6,20.11,20.45,20.26,19.24
0013o_nov2003b,D,False,Noise,Inconsistent photometry,20.09,19.51,19.7,19.75,18.91
0013o_nov2008,A+,True,,,21.67,20.16,20.55,20.26,19.54
0014_aug2010,A++,True,,,21.3689,19.9783,20.3089,21.0089,19.5289
0014_nov2003b,D,False,Noise,Inconsistent photometry,22.996,22.526,19.75,22.626,21.826
0014_oct2012,A++,True,,,21.5526,20.6554,20.5226,20.0326,19.8126
0014o_nov2003b,D,False,Noise,Inconsistent photometry,22.337,21.634,19.057,22.157,21.187
0014o_oct2012,A,True,,,21.4984,20.6647,20.4684,19.7384,19.7084
0015_aug2009,A,True,,,20.718,19.588,19.61,20.278,19.148
0015_nov2003b,D,False,r5sig<20 & i5sig<19 & h5sig<19 & rmode<18 & n_stars<1000,Clouds,17.5362,17.714,17.2762,17.1962,16.7862
0015o_aug2009,B,True,seeing>2,Seeing,20.731,19.606,19.52,20.281,19.201
0015o_nov2003b,D,False,r5sig<20 & i5sig<19 & h5sig<19 & n_stars<1000,Clouds,18.7808,18.2442,18.4308,18.8308,17.8508
0015o_nov2008,A+,True,,,21.561,20.0151,20.421,21.231,20.091
0016_nov2003b,A+,True,,,21.385,20.864,21.191,21.345,19.915
