night,ext_r,f_phot
030101,0.241:,0.74
030102,0.215:,0.53
030103,0.106,1.0
030104,0.106,0.91
030105,0.116,1.0
030106,0.115,0.98
030107,0.117,0.94
030108,,
030109,0.255:,0.97
030110,,0.49
030111,,
030112,,
030113,,
030114,,
030115,,
030116,0.085,1.0
030117,0.085,1.0
030118,,0.0
030119,0.106:,0.43
030120,0.107,1.0
030121,0.105:,0.62
030122,0.119,1.0
030123,0.094,1.0
030124,0.270:,1.0
030125,0.525:,0.32
030126,0.099:,0.68
030127,,0.0
030128,0.091,0.97
030129,,
030130,,0.0
030131,,
030201,,
030202,,
030203,,
030204,,
030205,0.089,0.81
030206,0.079,0.7
030207,,
030208,0.108,0.9
030209,0.092,1.0
030210,0.091,1.0
030211,0.091,1.0
030212,0.310:,0.72
030213,0.107,1.0
030214,0.094,0.96
030215,0.093,1.0
030216,0.097,0.97
030217,0.104,0.96
030218,0.119:,0.91
030219,,
030220,0.118:,1.0
030221,0.100,1.0
030222,0.115,0.71
030223,,
030224,,0.44
030225,0.094,0.97
030226,0.096,0.91
030227,0.097,0.97
030228,0.092,0.96
030301,0.122,0.88
030302,0.095,1.0
030303,0.095,0.97
030304,0.119,0.62
030305,0.082,0.63
030306,0.088:,0.21
030307,,0.03
030308,0.101,1.0
030309,0.092,0.87
030310,0.123,0.86
030311,0.114,0.91
030312,,
030313,,0.13
030314,,0.0
030315,,
030316,0.115:,0.7
030317,0.104,0.9
030318,0.118,0.92
030319,0.111,0.63
030320,,
030321,,
030322,0.127:,0.49
030323,,
030324,,0.0
030325,,0.09
030326,0.130,1.0
030327,0.104,0.83
030328,0.125,0.69
030329,0.131:,0.3
030330,0.319:,0.19
030331,0.103:,0.8
030401,0.392:,0.29
030402,0.166:,0.54
030403,0.197:,0.64
030404,0.093,0.92
030405,,
030406,,
030407,,
030408,0.094,1.0
030409,0.076,0.97
030410,0.089,1.0
030411,0.091:,0.96
030412,,
030413,0.075:,0.42
030414,0.081,0.97
030415,0.071,1.0
030416,0.073,0.7
030417,0.132,0.81
030418,0.125:,0.25
030419,0.092,0.93
030420,,
030421,0.103,0.58
030422,0.103,0.97
030423,,0.17
030424,0.115:,0.44
030425,0.102,0.97
030426,0.092,1.0
030427,0.096,1.0
030428,0.091,1.0
030429,,
030430,,0.0
030501,0.093,1.0
030502,0.068,0.97
030503,0.107:,0.33
030504,,1.0
030505,0.068,1.0
030506,0.059,1.0
030507,0.070,1.0
030508,,0.35
030509,0.161,0.95
030510,0.084,1.0
030511,0.062,1.0
030512,0.078,1.0
030513,0.063,1.0
030514,0.083:,0.48
030515,0.159,0.91
030516,0.086,0.83
030517,0.086,1.0
030518,0.082,1.0
030519,0.188:,0.96
030520,0.092:,0.39
030521,0.197,1.0
030522,0.234,0.96
030523,0.383,1.0
030524,0.215,1.0
030525,0.115,1.0
030526,0.099,1.0
030527,,0.05
030528,0.134,0.91
030529,0.103,0.96
030530,0.100,0.94
030531,0.111,0.63
030601,0.088,1.0
030602,0.097,0.7
030603,0.116,1.0
030604,0.102,1.0
030605,0.092,1.0
030606,0.096:,0.98
030607,0.128,1.0
030608,0.108,1.0
030609,0.100,1.0
030610,0.086,1.0
030611,0.114:,0.4
030612,0.101,0.95
030613,0.095,0.93
030614,0.097,1.0
030615,0.079,1.0
030616,0.089,0.96
030617,0.084,1.0
030618,0.087,1.0
030619,0.083,1.0
030620,,
030621,0.088,0.96
030622,0.099,1.0
030623,0.101,0.96
030624,,0.12
030625,0.110,1.0
030626,0.107,1.0
030627,0.085,1.0
030628,0.086,0.95
030629,0.332:,1.0
030630,0.207:,0.36
030701,,0.22
030702,0.123,0.94
030703,0.076,0.87
030704,0.072,0.99
030705,0.084,0.96
030706,0.080,0.84
030707,0.237,0.9
030708,0.122,1.0
030709,0.077,1.0
030710,0.672:,0.47
030711,,0.1
030712,0.442:,0.26
030713,0.100,0.94
030714,0.084,0.93
030715,0.097,0.95
030716,0.089,0.91
030717,0.266:,0.86
030718,0.373:,0.58
030719,0.959:,0.13
030720,0.495:,0.66
030721,0.422,0.74
030722,0.430,0.93
030723,0.323,0.93
030724,0.254,0.96
030725,0.100,0.9
030726,0.121,0.95
030727,0.109,0.96
030728,0.088,1.0
030729,0.094,1.0
030730,0.102,1.0
030731,,
030801,0.132,1.0
030802,0.195,1.0
030803,0.128,1.0
030804,0.110,1.0
030805,0.104,1.0
030806,0.330,0.97
030807,0.308,0.98
030808,0.256,0.93
030809,0.103,0.99
030810,,
030811,,
030812,,
030813,,
030814,,
030815,,
030816,,
030817,,
030818,,
030819,,0.0
030820,0.093,1.0
030821,0.080,1.0
030822,0.098,0.93
030823,0.100,0.84
030824,0.103,0.93
030825,0.086,1.0
030826,0.096,0.97
030827,0.091,0.89
030828,0.085,1.0
030829,0.080,1.0
030830,0.092,0.93
030831,,0.07
030901,0.300,0.52
030902,0.570:,0.33
030903,0.384:,0.97
030904,0.083,1.0
030905,0.075,1.0
030906,0.089,1.0
030907,0.084,1.0
030908,0.341:,0.36
030909,0.268:,0.37
030910,,0.0
030911,0.202:,0.3
030912,0.124:,0.31
030913,0.275:,1.0
