# col1         Gal_long. Gal_lat. RA                 Dec                nnnn  nnnno comment
  intphas_7500 114.94    2.79     489.85533332824707 64.48325000021192  true  true  ""     
  intphas_7501 113.64    -1.61    490.32800000508627 59.89986111111111  true  true  ""     
  intphas_7502 113.92    -0.74    490.95600001017254 60.81652777777777  true  true  ""     
  intphas_7503 114.71    1.9      491.006666692098   63.5665555551317   true  true  ""     
  intphas_7504 115.39    4.18     491.04266662597655 65.94994444423251  true  true  ""     
  intphas_7505 114.19    0.14     491.41000010172525 61.73322222179837  true  true  ""     
  intphas_7506 114.46    1.02     491.5013333638509  62.649888888465036 true  true  ""     
  intphas_7507 115.62    4.69     494.1180000305176  66.49994444423251  true  true  ""     
  intphas_7508 113.16    -3.76    495.0546666463216  57.69980555534362  true  true  ""     
  intphas_7509 112.91    -4.64    495.3319999694824  56.78313888867696  true  true  ""     
  intphas_7510 113.45    -2.89    496.1706667582194  58.616500000423855 true  true  ""     
  intphas_7511 113.75    -2.03    497.46799999872843 59.53316666709052  true  true  ""     
  intphas_7512 115.3     3.25     497.65866667429606 65.03325000021192  true  true  ""     
  intphas_7513 114.04    -1.15    498.4919999440511  60.449861111111105 true  true  ""     
  intphas_7514 115.07    2.36     498.95600001017254 64.11658333354525  true  true  ""     
  intphas_7515 114.32    -0.28    499.37533340454104 61.366527777777776 true  true  ""     
  intphas_7516 114.83    1.48     499.57666676839193 63.19988888846503  true  true  ""     
  intphas_7517 114.58    0.6      499.75866673787436 62.28322222179837  true  true  ""     
  intphas_7518 113.3     -4.18    502.5719999949137  57.33313888867696  true  true  ""     
  intphas_7519 113.57    -3.31    503.20933329264324 58.24983333375719  true  true  ""     
  intphas_7520 113.87    -2.44    504.5786666870117  59.16650000042385  true  true  ""     
  intphas_7521 115.64    3.73     505.1960000038147  65.58327777756584  true  true  ""     
  intphas_7522 114.16    -1.57    505.9913333257039  60.083194444444445 true  true  ""     
  intphas_7523 115.43    2.83     506.6639999389648  64.66658333354526  true  false sp     
  intphas_7524 114.44    -0.7     506.9693333943685  60.99986111111111  true  true  ""     
  intphas_7525 114.71    0.18     507.61999994913737 61.9165555551317   true  true  ""     
  intphas_7526 115.21    1.94     507.8019999186198  63.7499166668786   true  true  ""     
  intphas_7527 114.96    1.06     507.91066665649413 62.83322222179837  true  true  ""     
  intphas_7528 115.86    4.24     508.2966667175293  66.13327777756584  true  true  ""     
  intphas_7529 116.05    4.76     509.67999998728436 66.68327777756585  true  true  ""     
  intphas_7530 113.44    -4.61    509.91866664886476 56.966472222010296 true  true  ""     
  intphas_7531 113.69    -3.72    509.93933334350584 57.88316666709052  true  true  ""     
  intphas_7532 113.98    -2.85    511.51333338419596 58.799833333757185 true  true  ""     
  intphas_7533 114.28    -1.98    513.1466666698456  59.71652777777778  true  true  ""     
  intphas_7534 114.56    -1.11    514.3626667022705  60.63319444444444  true  true  ""     
  intphas_7535 115.78    3.31     514.7080000559489  65.21658333354526  true  true  ""     
  intphas_7536 114.83    -0.23    515.4399998982748  61.549861111111106 true  true  ""     
  intphas_7537 115.56    2.42     515.8006665547689  64.29991666687859  true  true  ""     
  intphas_7538 115.09    0.64     516.1926666259766  62.466555555131706 true  true  ""     
  intphas_7539 115.33    1.53     516.2153333028158  63.38322222179837  true  true  ""     
  intphas_7540 113.82    -4.14    517.2              57.51647222201029  true  true  ""     
  intphas_7541 114.1     -3.27    518.4240000406901  58.43316666709052  true  true  ""     
  intphas_7542 114.39    -2.4     520.1213333129883  59.34983333375719  true  true  ""     
  intphas_7543 116.07    3.8      520.4266667683919  65.76661111089918  true  true  ""     
  intphas_7544 114.68    -1.52    521.7226666768391  60.266527777777775 true  true  ""     
  intphas_7545 114.96    -0.65    523.2180000305176  61.18319444444444  true  true  ""     
  intphas_7546 116.29    4.31     523.724666595459   66.31661111089917  true  true  ""     
  intphas_7547 115.92    2.89     523.9466667175293  64.84991666687858  true  true  ""     
  intphas_7548 115.22    0.23     524.0773333231608  62.09988888846504  true  true  ""     
  intphas_7549 113.97    -4.56    524.563333384196   57.149805555343626 true  true  ""     
  intphas_7550 115.47    1.11     524.5766667683919  63.0165555551317   true  true  ""     
  intphas_7551 115.7     2.0      524.6773333231608  63.93325000021193  true  true  ""     
  intphas_7552 114.22    -3.68    525.1660000006358  58.06650000042385  true  true  ""     
  intphas_7553 116.47    4.83     525.5286666552225  66.86661111089917  true  true  ""     
  intphas_7554 114.52    -2.81    527.0693333943685  58.98316666709052  true  true  ""     
  intphas_7555 114.81    -1.94    529.0486666679383  59.89986111111111  true  true  ""     
  intphas_7556 115.08    -1.06    530.4646666208903  60.81652777777777  true  true  ""     
  intphas_7557 114.11    -4.97    531.6273333231608  56.78313888867696  true  true  ""     
  intphas_7558 115.35    -0.18    531.7466667175293  61.73322222179837  true  true  ""     
  intphas_7559 114.35    -4.09    532.0240000406901  57.69980555534362  true  true  ""     
  intphas_7560 116.26    3.37     532.0420000712077  65.3999166668786   true  true  ""     
  intphas_7561 115.6     0.7      532.7040000915528  62.649888888465036 true  true  ""     
  intphas_7562 116.06    2.48     532.9180000305175  64.48325000021192  true  true  ""     
  intphas_7563 115.84    1.59     533.1179999987285  63.5665555551317   true  true  ""     
  intphas_7564 114.64    -3.22    533.8453333536784  58.616500000423855 true  true  ""     
  intphas_7565 116.49    3.88     535.7220001220703  65.94994444423251  true  true  ""     
  intphas_7566 114.93    -2.34    535.8819999694824  59.53316666709052  true  true  ""     
  intphas_7567 115.2     -1.47    537.6806666692098  60.449861111111105 true  true  ""     
  intphas_7568 114.5     -4.51    539.2680000305176  57.33313888867696  true  true  ""     
  intphas_7569 115.48    -0.59    539.3766667683919  61.366527777777776 true  true  ""     
  intphas_7570 116.72    4.39     539.4326667785645  66.49994444423251  true  true  ""     
  intphas_7571 114.76    -3.63    540.5980000813802  58.24983333375719  true  true  ""     
  intphas_7572 115.73    0.29     540.6100001017253  62.28322222179837  true  true  ""     
  intphas_7573 116.41    2.95     541.3140000025431  65.03325000021192  true  true  ""     
  intphas_7574 115.97    1.17     541.3193333307902  63.19988888846503  true  true  ""     
  intphas_7575 116.2     2.06     541.6333333333333  64.11658333354525  true  true  ""     
  intphas_7576 116.9     4.91     541.6680000305175  67.04994444423251  true  true  ""     
  intphas_7577 115.05    -2.75    542.6926666259766  59.16650000042385  true  true  ""     
  intphas_7578 115.33    -1.88    544.8653333028158  60.083194444444445 true  true  ""     
  intphas_7579 114.64    -4.92    546.3466667175293  56.966472222010296 true  true  ""     
  intphas_7580 115.6     -1.0     546.6406667073568  60.99986111111111  true  true  ""     
  intphas_7581 114.88    -4.03    547.0466667175293  57.88316666709052  true  true  ""     
  intphas_7582 115.86    -0.12    548.1266667683919  61.9165555551317   true  true  ""     
  intphas_7583 116.1     0.76     549.2926666577657  62.83322222179837  true  true  ""     
  intphas_7584 115.17    -3.16    549.3340000152588  58.799833333757185 true  true  ""     
  intphas_7585 116.75    3.44     549.4606666564941  65.58327777756584  true  true  ""     
  intphas_7586 116.55    2.54     549.9226666768392  64.66658333354526  true  true  ""     
  intphas_7587 116.34    1.65     550.1013333638509  63.7499166668786   true  true  ""     
  intphas_7588 115.46    -2.29    551.713333384196   59.71652777777778  true  true  ""     
  intphas_7589 116.97    3.95     553.1859999974569  66.13327777756584  true  true  ""     
  intphas_7590 115.73    -1.41    553.7106666564941  60.63319444444444  true  true  ""     
  intphas_7591 115.03    -4.44    554.0313333511352  57.51647222201029  true  true  ""     
  intphas_7592 117.14    4.48     555.212000020345   66.68327777756585  true  true  ""     
  intphas_7593 115.99    -0.53    555.6079999287923  61.549861111111106 true  true  ""     
  intphas_7594 115.3     -3.57    555.9546666463216  58.43316666709052  true  true  ""     
  intphas_7595 116.24    0.36     557.2199999968211  62.466555555131706 true  true  ""     
  intphas_7596 117.34    5.0      558.1033332824707  67.23327777756585  true  true  ""     
  intphas_7597 116.47    1.24     558.1419999440511  63.38322222179837  true  true  ""     
  intphas_7598 115.58    -2.69    558.3846666971842  59.34983333375719  true  true  ""     
  intphas_7599 116.89    3.03     558.5646666208903  65.21658333354526  true  true  ""     
  intphas_7600 116.69    2.13     558.6693333943684  64.29991666687859  true  true  ""     
  intphas_7601 115.86    -1.81    560.7533332824707  60.266527777777775 true  true  ""     
  intphas_7602 115.18    -4.86    561.1246666669846  57.149805555343626 true  true  ""     
  intphas_7603 115.42    -3.97    562.413333384196   58.06650000042385  true  true  ""     
  intphas_7604 116.13    -0.93    563.0533332824707  61.18319444444444  true  true  ""     
  intphas_7605 116.38    -0.05    564.7560000101726  62.09988888846504  true  true  ""     
  intphas_7606 117.18    3.53     564.8966667175293  65.76661111089918  true  true  ""     
  intphas_7607 115.71    -3.09    565.0353333314259  58.98316666709052  true  true  ""     
  intphas_7608 116.61    0.84     566.1366666158041  63.0165555551317   true  true  ""     
  intphas_7609 116.84    1.72     567.1639999389648  63.93325000021193  true  true  ""     
  intphas_7610 117.04    2.62     567.4033332824707  64.84991666687858  true  true  ""     
  intphas_7611 115.99    -2.22    567.7680000305176  59.89986111111111  true  true  ""     
  intphas_7612 117.39    4.04     568.8259999593099  66.31661111089917  true  true  ""     
  intphas_7613 115.56    -4.38    568.9933334350586  57.69980555534362  true  true  ""     
  intphas_7614 116.25    -1.34    569.9739999771118  60.81652777777777  true  true  ""     
  intphas_7615 117.57    4.57     571.2786666870118  66.86661111089917  true  true  ""     
  intphas_7616 115.83    -3.5     571.5199999491374  58.616500000423855 true  true  ""     
