field,dir,n_matched,n_outliers_5p,n_outliers_10p,n_outliers_20p,n_5p_r,n_5p_i,n_5p_h,n_10p_r,n_10p_i,n_10p_h,n_20p_r,n_20p_i,n_20p_h,med_dr,med_di,med_dh,std_dr,std_di,std_dh,file1,file2
0001,iphas_aug2003,4650,544,26,7,161,187,196,5,5,16,0,2,5,-0.000150680541992,0.0543804168701,-0.000575065612793,0.026351008188,0.0266807649247,0.331104531031,newmerges/iphas_aug2003/intphas_0001_mercat.fits,newmerges/iphas_aug2003/intphas_0001o_mercat.fits
0001,iphas_jul2007,1937,53,4,1,13,6,34,1,1,2,0,0,1,-0.00288009643555,-0.00405168533325,-0.0110688209534,0.0180539309757,0.0160039625145,0.0317262439829,newmerges/iphas_jul2007/intphas_0001_mercat.fits,newmerges/iphas_jul2007/intphas_0001o_mercat.fits
0001,iphas_oct2006,2959,409,18,0,177,79,153,7,2,9,0,0,0,0.0105438232422,0.0736808776855,-0.00752210617065,0.0311097498992,0.0236006887511,0.0306252720707,newmerges/iphas_oct2006/intphas_0001_mercat.fits,newmerges/iphas_oct2006/intphas_0001o_mercat.fits
0002,iphas_aug2003,2106,154,8,1,51,48,55,3,3,2,1,0,0,-0.00522136688232,-0.071702003479,-0.00333213806152,0.0278123247615,0.0229324608278,0.0281361519705,newmerges/iphas_aug2003/intphas_0002_mercat.fits,newmerges/iphas_aug2003/intphas_0002o_mercat.fits
0002,iphas_jul2007,1315,28,3,1,7,7,14,1,1,1,0,0,1,-0.00359916687012,-0.00674438476562,-0.00775003433228,0.0168680827492,0.0167869183506,0.023328787858,newmerges/iphas_jul2007/intphas_0002_mercat.fits,newmerges/iphas_jul2007/intphas_0002o_mercat.fits
0002,iphas_oct2006,1860,243,16,2,46,91,106,1,7,8,1,0,1,-0.00546264648438,0.0569748878479,-0.0154418945312,0.0259460878197,0.0299299116068,0.0331650220762,newmerges/iphas_oct2006/intphas_0002_mercat.fits,newmerges/iphas_oct2006/intphas_0002o_mercat.fits
0003,iphas_aug2003,423,95,5,0,28,36,31,2,1,2,0,0,0,-0.061728477478,0.0489130020142,-0.00632047653198,0.0318028498942,0.0293771166931,0.0348340305437,newmerges/iphas_aug2003/intphas_0003_mercat.fits,newmerges/iphas_aug2003/intphas_0003o_mercat.fits
0003,iphas_jul2007,317,16,1,0,4,3,9,0,0,1,0,0,0,0.00713634490967,0.046811580658,0.000354766845703,0.0200211976554,0.0168788975129,0.0259889544916,newmerges/iphas_jul2007/intphas_0003_mercat.fits,newmerges/iphas_jul2007/intphas_0003o_mercat.fits
0003,iphas_oct2006,282,44,3,0,10,17,17,0,1,2,0,0,0,0.0117225646973,-0.00383520126343,0.00749969482422,0.0280237933653,0.0261282169271,0.0325603923986,newmerges/iphas_oct2006/intphas_0003_mercat.fits,newmerges/iphas_oct2006/intphas_0003o_mercat.fits
0004,iphas_aug2003,282,44,3,0,10,17,17,0,1,2,0,0,0,0.0117225646973,-0.00383520126343,0.00749969482422,0.0280237933653,0.0261282169271,0.0325603923986,newmerges/iphas_oct2006/intphas_0003_mercat.fits,newmerges/iphas_oct2006/intphas_0003o_mercat.fits
0004,iphas_aug2004b,5437,342,23,7,38,107,197,6,7,10,0,3,4,5.34057617188e-05,-0.00465250015259,-0.00109672546387,0.0195167231626,0.473363297241,0.122074749148,newmerges/iphas_aug2004b/intphas_0004_mercat.fits,newmerges/iphas_aug2004b/intphas_0004o_mercat.fits
0005,iphas_nov2003b,3153,521,25,2,169,231,121,11,8,6,0,1,1,-0.271148681641,-0.100971221924,-0.232714176178,0.0327541372607,0.0375333705909,0.0300566446483,newmerges/iphas_nov2003b/intphas_0005_mercat.fits,newmerges/iphas_nov2003b/intphas_0005o_mercat.fits
0006,iphas_nov2003b,6357,579,15,5,76,254,249,3,5,7,2,1,2,0.128418922424,0.164856910706,0.0306224822998,0.0226472469127,0.0304536600762,0.0308909958596,newmerges/iphas_nov2003b/intphas_0006_mercat.fits,newmerges/iphas_nov2003b/intphas_0006o_mercat.fits
0007,iphas_nov2003b,3388,277,3,1,34,103,140,0,1,2,0,0,1,-0.142226696014,-0.123602867126,0.0185489654541,0.0219240226857,0.0262374927867,0.0317076114562,newmerges/iphas_nov2003b/intphas_0007_mercat.fits,newmerges/iphas_nov2003b/intphas_0007o_mercat.fits
0008,iphas_nov2003b,2223,644,39,2,168,223,253,9,12,18,0,0,2,-0.19252204895,-0.336880683899,-0.460657119751,0.0344137253553,0.0395078518567,0.039681147856,newmerges/iphas_nov2003b/intphas_0008_mercat.fits,newmerges/iphas_nov2003b/intphas_0008o_mercat.fits
0008,iphas_sep2010,4000,173,6,0,34,69,70,0,3,3,0,0,0,0.0107178688049,-0.00327491760254,0.00503158569336,0.0202141057724,0.0232269488543,0.0240361685619,newmerges/iphas_sep2010/intphas_0008_mercat.fits,newmerges/iphas_sep2010/intphas_0008o_mercat.fits
0009,iphas_aug2010,2501,185,5,0,43,42,100,1,2,2,0,0,0,-0.0123596191406,-0.0128936767578,-0.00999641418457,0.0222237299201,0.0226029163066,0.0274523145117,newmerges/iphas_aug2010/intphas_0009_mercat.fits,newmerges/iphas_aug2010/intphas_0009o_mercat.fits
0009,iphas_nov2003b,1434,725,274,127,208,412,105,16,254,4,0,126,1,-0.264722824097,-0.800895690918,-0.0185079574585,0.0437118194689,0.136722156192,0.0351184005443,newmerges/iphas_nov2003b/intphas_0009_mercat.fits,newmerges/iphas_nov2003b/intphas_0009o_mercat.fits
0009,iphas_oct2009,3129,87,16,3,25,29,33,5,3,8,0,1,2,-0.0077075958252,0.00200843811035,-0.00666379928589,0.0189989642876,0.0221089220716,0.0239186242895,newmerges/iphas_oct2009/intphas_0009_mercat.fits,newmerges/iphas_oct2009/intphas_0009o_mercat.fits
0010,iphas_aug2009,1380,167,12,1,29,58,80,1,4,7,0,1,0,-0.0365734100342,-0.0414266586304,-0.0193099975586,0.0235225578716,0.0280974803958,0.0309001276811,newmerges/iphas_aug2009/intphas_0010_mercat.fits,newmerges/iphas_aug2009/intphas_0010o_mercat.fits
